id,status,format,flags,notes,ans_count,expected_count,gold_count,judge_extracted_count,judge_self_ok,answer,question
15,KEEP,mcq_inline,,,3,3,3,3,1,"[""B"", ""C"", ""A""]","For each problem, select the best response.\n(a) The length of human pregnancies from conception to birth varies according to a distribution that is approximately Normal with mean 266 days and standard deviation 16 days. The probability that the average pregnancy length for 6 randomly chosen women exceeds 270 days is about [ANS] A. 0.07  B. 0.27  C. 0.4  D. None of the above.\n(b) Scores on the mathematics part of the SAT exam in a recent year were roughly Normal with mean 559 and standard deviation 106. You choose an SRS of 100 students and average their SAT math scores. If you do this many times, with a sample of size 100 each time, the standard deviation of the average scores will get close to [ANS] A. 106  B. 1.06  C. 10.6  D. None of the above.\n(c) A newborn baby has extremely low birth weight (ELBW) if it weighs less than 1000 grams. A study of the health of such children in later years examined a random sample of 219 children. Their mean weight at birth was $\bar {x}=$ 810 grams. This sample mean is an unbiased estimator of the mean weight $\mu$ in the population of all ELBW babies. This means that [ANS] A. the average sample mean $\bar {x}$, over all possible samples, is equal to $\mu$.  B. the sample mean $\bar {x}$ will have a distribution that is close to Normal.  C. the sample mean $\bar {x}$ is always equal to $\mu$.  D. None of the above."
16,KEEP,free,,,2,2,2,2,1,"[""atan(4.76)"", ""pi""]",Determine all solutions for $\tan(\theta)=4.76$ $\theta=$ [ANS]+[ANS] $n$ where $n$ is any integer and where the value in each first blank lies between $-\pi/2$ and $\pi/2$. Use radian measure and enter your answers using at least four significant digits. Use radian measure and enter your answers using at least four significant digits.
17,KEEP,free,,,2,2,2,2,1,"[""2*8*x"", ""2*8*x""]","Use the formula for lowering the powers to simplify the expression:\n(a) If $\cos^2 8x-\sin^2 8x=\cos (f(x))$, then $f(x)=$ [ANS] ; (b) If $\cos^4 8x-\sin^4 8x=\cos (g(x))$, then $g(x)=$ [ANS]. Hint: For part (b), use $a^4-b^4=(a^2-b^2)(a^2+b^2)$!"
18,KEEP,mcq_options,,,0,1,1,1,1,"""I""",Let $Y_1 < Y_2 < \cdots < Y_8$ be the order statistics of eight independent observations from a continuous-type distribution with 70 th percentile $\pi_{0.7}=27.3$.\n(a) Determine $P\left(Y_7<27.3\right)$.
19,KEEP,mcq_options,,,0,1,1,1,1,"""E""","A sequence of positive reals defined by $a_0=x$ , $a_1=y$ , and $a_n\cdot a_{n+2}=a_{n+1}$ for all integers $n\ge 0$ . Given that $a_{2007}+a_{2008}=3$ and $a_{2007}\cdot a_{2008}=\frac 13$ , find $x^3+y^3$ ."
20,KEEP,free,,,15,15,15,15,1,"[""-10"", ""100"", ""-9"", ""81"", ""1"", ""1"", ""3"", ""9"", ""7"", ""49"", ""8"", ""64"", ""304"", ""60.8"", ""7.79743547584717""]","Use the table below to find the standard deviation of the following data set: Use at least three decimal places of accuracy at each step. Use at least three decimal places of accuracy at each step.\n22, 23, 33, 35, 39, 40\n$\begin{array}{ccc}\hline X & X-\bar{x} & \left(X-\bar{x}\right)^2 \\ \hline 22 & [ANS] & [ANS] \\ \hline 23 & [ANS] & [ANS] \\ \hline 33 & [ANS] & [ANS] \\ \hline 35 & [ANS] & [ANS] \\ \hline 39 & [ANS] & [ANS] \\ \hline 40 & [ANS] & [ANS] \\ \hline & & \\ \hline & SUM & [ANS] \\ \hline & \frac{SUM}{N-1} & [ANS] \\ \hline & \sqrt{\frac{SUM}{N-1}} & [ANS] \\ \hline \end{array}$"
21,REVIEW,free,judge_self_check_failed,,5,5,5,5,0,"[""3*t^1*(1-t)^2"", ""6*t^2*(1-t)^2"", ""10*t^3*(1-t)^2"", ""7*t^6*(1-t)^1"", ""70*t^4*(1-t)^4""]","Write the formula for the 1st Bernstein polynomial of degree 3. For all parts, express your answer in the variable $t$. Answer: [ANS]\nWrite the formula for the 2nd Bernstein polynomial of degree 4. Answer: [ANS]\nWrite the formula for the 3rd Bernstein polynomial of degree 5. Answer: [ANS]\nWrite the formula for the 6th Bernstein polynomial of degree 7. Answer: [ANS]\nWrite the formula for the 4th Bernstein polynomial of degree 8. Answer: [ANS]"
22,KEEP,free,,,6,6,6,6,1,"[""1.6"", ""1.76"", ""0.16*p/16"", ""up"", ""1"", ""0.16""]","Many printing presses are designed with large plates that print a fixed number of pages as a unit. Each unit is called a signature. A particular press prints signatures of 16 pages each. Suppose $C(p)$ is the cost of printing a book of $p$ pages, assuming each signature printed costs \$0.16.\n(a) What is the cost of printing a book of 160 pages? \$ [ANS]\nWhat if there are 161 pages? \$ [ANS]\nWhat if there are $p$ pages? $C(p)=$ \$ [ANS] where the cost is rounded (up/down) [ANS] for the next signature. (b) What are the domain and range of $C(p)$? Domain: all nonnegative integer multiples of (1 through 16) [ANS] Range:   all nonnegative integer multiples of (0.01 through 0.20) [ANS] (c) On a piece of paper, sketch a graph of $C(p)$."
23,KEEP,mcq_inline,,,4,4,4,4,1,"[""B"", ""A"", ""B"", ""A""]",A sample of 30 dentists from Seattle is taken to estimate the median income of all Seattle residents. Is this study [ANS] A. REPRESENTATIVE?  B. NON-REPRESENTATIVE? A simple random sample of men over age 18 is taken to estimate the mean weight of all adult males. Is this study [ANS] A. REPRESENTATIVE?  B. NON-REPRESENTATIVE? A telephone survey is conducted during the day in order to determine the chances of a certain candidate winning an election. Is this study [ANS] A. REPRESENTATIVE?  B. NON-REPRESENTATIVE? A simple random sample of 40 U.S. citizens is taken in order to estimate the mean cholesterol level of U.S. citizens. Is this study [ANS] A. REPRESENTATIVE?  B. NON-REPRESENTATIVE?
24,KEEP,mcq_options,,,0,1,1,1,1,"""A""","Compute the integral:\n$$\n\int_{0}^3 \frac{ 1 }{ x^2 + 2 \cdot x - 8 } \, dx\n$$"
25,DROP,free,answer_count_mismatch,expected=4,4,4,3,3,1,"[""18.8105"", ""11.3449"", ""Yes""]","A student wants to see if the correct answers to multiple choice problems are evenly distributed. She heard a rumor that if you don't know the answer, you should always pick C. pick C. In a sample of 95 multiple-choice questions from prior tests and quizzes, the distribution of correct answers are given in the table below. In all of these questions, there were four options {A, B, C, D}.\n$\begin{array}{ccccc}\hline & Correct Answers (n=95) \\ \hline & A & B & C & D \\ \hline Count & 33 & 35 & 17 & 10 \\ \hline \end{array}$ 10 Test the claim that correct answers for all multiple-choice questions are not evenly distributed. Test this claim at the 0.01 significance level.\n(a) Find the test statistic. [ANS]\n(b) Find the critical value. [ANS]\n(c) Is there sufficient data to support the claim? [ANS] [ANS]"
26,KEEP,free,,,1,1,1,1,1,"[""625*L""]",Simplify the expression as much as possible and leave it without radicals.\n$\big(125 L^{3/4} P \big)^{4/3} \big(P \big)^{-4/3}=$ [ANS]
27,KEEP,free,,,1,1,1,1,1,"[""[ln(0.5)]/[ln(0.96584)]""]",Find the half-life of an element which decays by 3.416\% each day. The half-life is [ANS] days.
28,KEEP,free,,,1,1,1,1,1,"[""144""]","Show how you can add and subtract mentally. Try to do this problem. Fresh Market bought 58 lb of apples in August from a local orchard. In September, the market purchased an additional 52 lb of apples and 34 lb of strawberries. How many pounds did the market buy? [ANS] pounds."
29,KEEP,free,,,2,2,2,2,1,"[""442.857142857143"", ""332.142857142857""]",Your weekly paycheck is $25$ percent less than your coworker's. Your two paychecks total $775$. Find the amount of each paycheck.\nYour coworker's is: [ANS] and yours is [ANS].
30,KEEP,free,,,9,9,9,9,1,"[""3.03"", ""0.09"", ""B"", ""5.05"", ""0.031"", ""A"", ""0.58"", ""0.452"", ""B""]",Use the Minitab display to test the claims. Use the $\alpha=0.05$ significance level. The sample data are SAT scores on the verbal and math portions of SAT-I. \begin{array}{l} \begin{array}{l} \mbox{Analysis of Variance for SAT} \end{array} \cr \begin{array}{lrrrrr} \mbox{Source} & \mbox{DF} & \mbox{SS} & \mbox{MS} & \mbox{F} & \mbox{P} \cr \mbox{Gender} & 1 & 52668 & 52668 & 5.05 & 0.031 \cr \mbox{Ver/Math} & 1 & 6039 & 6039 & 0.58 & 0.452 \cr \mbox{Interaction} & 1 & 31617 & 31617 & 3.03 & 0.09 \cr \mbox{Error} & 37 & 376351 & 10431 & & \cr \mbox{Total} & 40 & 466675 & & & \end{array} \end{array} 1. Test the claim that SAT scores are not affected by an interaction between gender and test (verbal/math).\n(a) The $F-$ test statistic is [ANS]. (b) The P-value is [ANS]. (c) Does there appear to be a significant effect from the interaction between gender and test? [ANS] A. Yes  B. No\n2. Test the claim that gender has an effect on SAT scores.\n(a) The $F-$ test statistic is [ANS]. (b) The P-value is [ANS]. (c) Is there sufficient evidence to support the claim that gender has an effect on SAT scores? [ANS] A. Yes  B. No\n3. Test the claim that the type of test (math/verbal) has an effect on SAT scores.\n(a) The $F-$ test statistic is [ANS]. (b) The P-value is [ANS]. (c) Is there sufficient evidence to support the claim that the type of test has an effect on SAT scores? [ANS] A. Yes  B. No
31,KEEP,free,,,6,6,6,6,1,"[""K"", ""I"", ""J"", ""F"", ""B"", ""H""]",Match each given expression with one of the expressions from below (A-L): [ANS] 1. $\sin(-x)$ [ANS] 2. $\cos(-x)$ [ANS] 3. $\csc(-x)$ [ANS] 4. $\sec(x)$ [ANS] 5. $\sec^2(x)$ [ANS] 6. $\tan^2(x)$\nAnswers:\nA. $1-\sin^2(x)$ B. $1+\tan^2(x)$ C. ${\frac{\sin(x)}{\cos(x)}}$ D. $1+\cot^2(x)$ E. ${\frac{\cos(x)}{\sin(x)}}$ F. ${\frac{1}{\cos(x)}}$ G. $\csc^2(x)-1$ H. $\sec^2(x)-1$ I. ${\frac{1}{\sec(x)}}$ J. $-\csc(x)$ K. $-\sin(x)$ L. ${\frac{1}{\csc(x)}}$
32,KEEP,free,,,1,1,1,1,1,"[""7091.66666666667""]","An executive in an engineering firm earns a monthly salary plus a Christmas bonus of $7300$ dollars. If she earns a total of $92400$ dollars per year, what is her monthly salary in dollars?\nYour answer is: [ANS]"
33,KEEP,mcq_options,,,0,1,1,1,1,"""B""","An ordinary deck of cards containing 26 red cards and 26 black cards is shuffled and dealt out one card at a time without replacement. Let $X_i$ be the color of the $i$th card. Compute $H(X_1,X_2,\ldots,X_{52})$ in bits."
34,KEEP,free,,,1,1,1,1,1,"[""14.5843461351483""]",A circular arc of length 14 feet subtends a central angle of 55 degrees. Find the radius of the circle in feet. (Note: You can enter $\pi$ as 'pi' in your answer.) [ANS] feet
35,KEEP,free,,,1,1,1,1,1,"[""2010""]","The average cost of tuition and fees at public four year colleges in the United States can be modeled by the formula T=165x+2771, where T represents the average cost of tuition and fees for the school year ending x years after 1996. Use the formula to determine the year when tuition and fees at public U.S. colleges average \$5081. (Note: Give the year. For example, if you calculate that the answer is 9 years after 1996, then enter 2005 2005.) Answer: [ANS]"
36,KEEP,free,,,2,2,2,2,1,"[""2*pi/6"", ""0.7""]",Find the period and amplitude of $r=0.7 \sin(6 t)+6$ period=[ANS]\namplitude=[ANS]
37,KEEP,free,,,3,3,3,3,1,"[""110101"", ""11010101"", ""1010100001""]",Add the following binary numbers $\begin{array}{cc}\hline & 11100 \\ \hline+& 11001 \\ \hline & [ANS] \\ \hline \end{array}$\n$\begin{array}{cc}\hline & 1100111 \\ \hline+& 1101110 \\ \hline & [ANS] \\ \hline \end{array}$\n$\begin{array}{cc}\hline & 101001101 \\ \hline+& 101010100 \\ \hline & [ANS] \\ \hline \end{array}$
38,KEEP,free,,,2,2,2,2,1,"[""1250"", ""875""]","A concert venue sold 2125 tickets one evening. Tickets cost $\$35.00$ for a covered pavilion seat and $\$20.00$ for a lawn seat. Total receipts were $\$55{,}625.00$. How many of each type of ticket were sold? Lawn tickets: [ANS]\nPavilion tickets: [ANS]"
39,KEEP,free,,,1,1,1,1,1,"[""2.2892""]",Solve $p=30 (0.8)^q$ graphically for $q$ if $p=18$. $q=$ [ANS] (give your answer accurate to at least 1 decimal place)
40,KEEP,free,,,4,4,4,4,1,"[""N"", ""O"", ""I"", ""N""]","Before leaving a particular restaurant, patrons are asked to respond to a questionaire containing the questions given below. For each question, indicate  whether the possible responses are Interval, Nominal, or Ordinal.\n[ANS] 1. Which of the following attributes of this restaurant do you find most attractive: service, prices, quality of food, menu options? [ANS] 2. Would your overall rating of this restaurant be excellent, good, fair, or poor? [ANS] 3. If you've eaten here before, how long has it been since your last visit? [ANS] 4. Would you recommend this restaurant to a friend?"
41,REVIEW,free,decimal_exact_conflict_possible,,3,3,3,3,1,"[""T * W + S*(T+W)"", ""T+W"", ""65.2389937106918""]","The total resistance, $R$, of a particular group is given by the formula: R=S+\left(\frac{1}{\frac{1}{T}+\frac{1}{W}}\right)\nThis formula can be simplified to the form $\frac{A}{B}$ where $A$ and $B$ contain no fractions. $A=$ [ANS]\n$B=$ [ANS]\nSuppose that $S=27 \Omega$, $T=64 \Omega$ and $W=95 \Omega$. Then $R=$ [ANS] $\Omega$ Note: Your answer must be a decimal."
42,KEEP,mcq_options,,,0,1,1,1,1,"""J""","Define the sequence of integers $V_n$ such that $V_1 = 5000, V_2 = 4999,$ and\n$$$V_n = \lfloor (V_{n-1})^{\frac{2}{3}} \cdot \lfloor(V_{n-2})^{\frac{1}{3}}\rfloor \rfloor$$$\nfor all integers $n > 2.$ Find the last three digits of $V_{1000}.$"
43,KEEP,free,,,3,3,3,3,1,"[""YES"", ""-6.70156211871642"", ""-0.298437881283576""]","Find all real solutions of equation $2+7 z+z^2=0$.\nDoes the equation have real solutions? Input Yes or No: [ANS]\nIf your answer is Yes, input the solutions: $z_1=$ [ANS] and $z_2=$ [ANS] with $z_1\le z_2$."
44,KEEP,free,,,2,2,2,2,1,"[""(-1,-3)"", ""-0.948683298050514""]","Determine any point in the third quadrant for which $\tan(\alpha)=3$ One valid point=[ANS]\nFor this angle, $\sin(\alpha)=$ [ANS]"
45,KEEP,mcq_inline,,,1,1,1,1,1,"[""C""]",What is the difference between a frequency histogram and a relative frequency histogram? [ANS] A. There is no difference between the two  B. A frequency histogram displays class frequencies on the horizontal axis while a relative-frequency histogram displays class relative frequencies on the horizontal axis  C. A frequency histogram displays class frequencies on the vertical axis while a relative-frequency historgram displays class relative frequencies on the vertical axis  D. None of the above
46,KEEP,free,,,2,2,2,2,1,"[""429.804"", ""1012.555""]","A bullet is fired into the air with an initial velocity of 1100 feet per second at an angle of $67^o$ from the horizontal. The horizontal and vertical components of the velocity vector are:\n$<$ [ANS], [ANS] $>$ (Express your answers using at least three decimal places.)"
47,KEEP,free,,,1,1,1,1,1,"[""9""]",Evaluate the expression $\sqrt{\frac{12\cdot 27}{4}}$. [ANS]\n[NOTE: Your answer cannot be an algebraic expression.]
48,KEEP,mcq_options,,,0,1,1,1,1,"""I""",Integral $int_{0}^{4}{frac{sqrt{x}}{1+xsqrt{x}}}dx=$
49,KEEP,free,,,2,2,2,2,1,"[""3*k+9*J*u"", ""u""]","Solve the equation for $v$:\n k=\frac{u}{3} \left(v-9 J\right)\n$\begin{array}{cccc}\hline &  v=& & [ANS] [ANS] \\ \hline \end{array}$\nNote: Write your answer as a single fraction, and type the numerator and denominator separately in the answer blanks provided."
50,KEEP,mcq_options,,,0,1,1,1,1,"""B""",Calculate $E = \left(\sin\left(\frac{ \pi }{ 8 }\right)\right)^4 + \left(\sin\left(\frac{ 3 \cdot \pi }{ 8 }\right)\right)^4 + \left(\sin\left(\frac{ 5 \cdot \pi }{ 8 }\right)\right)^4 + \left(\sin\left(\frac{ 7 \cdot \pi }{ 8 }\right)\right)^4$
51,KEEP,mcq_options,,,0,1,1,1,1,"""A""","Given that the function $f ( x )$ is continuous on $(-\infty,+\infty)$, and $f ( x )=( x+1 )^{2}+2 {\int_{0}^{x}} f ( t ) \mathrm{d} t$, then for $n \geqslant2$ ,$f^{( n )} \left( 0 \right)=$ ( )."
52,KEEP,free,,,1,1,1,1,1,"[""    46080""]","A machine can produce a nail every $7.5$ seconds. If the machine keeps running for $4$ days without stop, how many nails can be produced? Solution: The machine can produce [ANS] nails in $4$ days."
53,KEEP,mcq_options,,,0,1,1,1,1,"""C""","Let \( n \) be any positive integer, and alpha be a real number, then\n$$\n[ \alpha]+\left[ \alpha+\frac{1} {n} \right]+\cdots+\left[ \alpha+\frac{n-1} {n} \right]=?\n$$"
54,KEEP,mcq_options,,,0,1,1,1,1,"""F""","It takes Kate k days to write a GRE math practice test. It takes John j days to write a GRE math practice test. If Kate and John work on a practice test in alternating 2-day shifts, it takes them 10 days when Kate starts and 10.5 days when John starts. How long would it take the two to complete a practice test if Kate and John worked simultaneously?"
55,KEEP,free,,,2,2,2,2,1,"[""6*e^(16*x)"", ""6""]",Let $u(x)=e^{8x}$ and $v(x)=6x+6$. Find a simplified formula for the function below. $v \big(u(x)^2 \big)=$ [ANS] $+$ [ANS]
56,KEEP,mcq_inline,,,2,2,2,2,1,"[""A"", ""C""]","For each problem, select the best response.\n(a) A 95\% confidence interval for the mean $\mu$ of a population is computed from a random sample and found to be $10 \pm 4$. We may conclude [ANS] A. that if we took many, many additional samples and from each computed a 95\% confidence interval for $\mu$, approximately 95\% of these intervals would contain $\mu$.  B. 95\% of the population is between 6 and 14.  C. that there is a 95\% probability that $\mu$ is between 6 and 14.  D. that there is a 95\% probability that the true mean is 10 and a 95\% chance the true margin of error is 4.  E. All of the above.\n(b) Suppose you collect a SRS of size n from a population and from the data collected you computed a 95\% confidence interval for the mean of the population. Which of the following would produce a new confidence interval with larger width (larger margin of error) based on these same data? [ANS] A. Nothing can guarantee absolutely that you will get a larger interval. One can only say the chance of obtaining a larger interval is 0.05.  B. Use a smaller confidence level.  C. Use a larger confidence level.  D. Use the same confidence level, but compute the interval n times. Approximately 5\% of these intervals will be larger.  E. None of the above."
57,KEEP,free,,,3,3,3,3,1,"[""580"", ""660"", ""80""]",A sample of eight math SAT scores is given below:\n600 \quad 640 \quad 640 \quad 560 \quad 680 \quad 610 \quad 540 \quad 720 Find the first and third quartiles and the interquartile range for this sample. First Quartile=[ANS]\nThird Quartile=[ANS]\nInterquartile Range=[ANS]
58,KEEP,mcq_inline,,,2,2,2,2,1,"[""A"", ""C""]","A professor of statistics refutes the claim that the average student spends 3 hours studying for a midterm exam. Which hypothesis is used to test the claim? [ANS] A. $H_0: \mu=3, H_1: \mu \not=3$  B. $H_0: \mu=3, H_1: \mu < 3$  C. $H_0: \mu \not=3, H_1: \mu=3$  D. $H_0: \mu \not=3, H_1: \mu > 3$\nSuppose that we reject a null hypothesis at the 0.05 level of significance. Then for which of the following $\alpha-$ values do we also reject the null hypothesis? [ANS] A. 0.02  B. 0.04  C. 0.06  D. 0.03"
59,KEEP,mcq_options,,,0,1,1,1,1,"""B""","Circle $\omega_1$ is defined by the equation $(x-7)^2+(y-1)^2=k,$ where $k$ is a positive real number. Circle $\omega_2$ passes through the center of $\omega_1$ and its center lies on the line $7x+y=28.$ Suppose that one of the tangent lines from the origin to circles $\omega_1$ and $\omega_2$ meets $\omega_1$ and $\omega_2$ at $A_1,A_2$ respectively, that $OA_1=OA_2,$ where $O$ is the origin, and that the radius of $\omega_2$ is $\frac{2011} {211}$ . What is $k$ ?"
60,KEEP,free,,,1,1,1,1,1,"[""38""]",Use the properties of exponents to simplify the following\n$38B^0=$ [ANS]
61,KEEP,mcq_inline,,,1,1,1,1,1,"[""BCEG""]","How does the symmetry of $ f(x)=\frac{p(x)}{q(x)}$ depend on the symmetry of $p(x)$ and $q(x)$? Select all true statements. There may be more than one correct answer. [ANS] A. If $p(x)$ is even and $q(x)$ is odd, then $f(x)$ is even.  B. If $p(x)$ and $q(x)$ are both even, then $f(x)$ is even.  C. If $p(x)$ is even and $q(x)$ is odd, then $f(x)$ is odd.  D. If $p(x)$ or $q(x)$ is neither even nor odd, then $f(x)$ is neither even nor odd.  E. If $p(x)$ and $q(x)$ are both odd, then $f(x)$ is even.  F. If $p(x)$ is odd and $q(x)$ is even, then $f(x)$ is even.  G. If $p(x)$ is odd and $q(x)$ is even, then $f(x)$ is odd.  H. If $p(x)$ and $q(x)$ are both odd, then $f(x)$ is odd."
62,KEEP,free,,,1,1,1,1,1,"[""(2, -2)""]","Given that $x=1$ is a zero of the polynomial $P(x)=8x^3-8x^2-32x+32$, find all other zeros of the polynomial $P(x)$. The other zeros of $P(x)$ are $x=$ [ANS].   If there are multiple zeros, separate the different zeros by commas."
63,KEEP,mcq_options,,,0,1,1,1,1,"""I""",The general solution of the equation $y' \sec^2 y - \sec^2 y - 1 = 0$ is ( ).
64,DROP,free,rounding_conflict,,1,1,1,1,1,"[""12.0814""]","A building has two storeys with unequal heights. From an observation point on the ground ${51\ {\rm ft}}$ from the bottom of the building, the angle of elevation to the bottom of the second storey is $20$ degrees, and the angle of elevation to the top of the second storey is $31$ degrees. Find the height of the second storey. Round your answer to two decimal places if needed. The height of the second storey is [ANS]ft."
65,KEEP,free,,,6,6,6,6,1,"[""-15/13"", ""13/15"", ""-15/13"", ""-13/15"", ""13/15"", ""-13/15""]",Complete the table below.\n$\begin{array}{ccc}\hline Number & Opposite & Reciprocal \\ \hline {\textstyle\frac{15}{13}}{\textstyle\frac{15}{13}} & [ANS] & [ANS] \\ \hline [ANS] & {\textstyle\frac{15}{13}}{\textstyle\frac{15}{13}} & [ANS] \\ \hline [ANS] & [ANS] & {\textstyle\frac{15}{13}}{\textstyle\frac{15}{13}} \\ \hline \end{array}$
66,KEEP,free,,,3,3,3,3,1,"[""77.2*exp(0.016*t)"", ""92.056"", ""2020""]","World poultry production was 77.2 million tons in the year 2004 and increasing at a continuous rate of 1.6\% per year. Assume that this growth rate continues.\n(a) Write an exponential formula for world poultry production, $P$, in million tons, as a function of the number of years, $t$, since 2004. $P=$ [ANS]\n(b) Use the formula to estimate world poultry production in the year 2015. [ANS] million tons (Round to the nearest 0.001.) (c) Use a graph to estimate the year in which world poultry production goes over 100 million tons. In the year [ANS]"
67,KEEP,free,,,1,1,1,1,1,"[""122""]","A plumber and his assistant work together to replace the pipes in an old house. The plumber charges 45 dollars per hour for his own labor and 25 dollars for his assistant's labor. The plumber works twice as long as his assistant on this job, and the labor charge on the final bill is 7015. How long did the plumber work on this job?\nYour answer is [ANS] hours."
68,KEEP,mcq_options,,,0,1,1,1,1,"""C""","Kelvin the Frog's favorite quadratic function is $f(x) = x^2- 42x + 1337$ . His favorite quartic function is $f(f(x))$ , and in general his favorite function of degree $2^n$ is $f^n(x)$ . Compute the sum of the roots of Kelvin's favorite $16$ th degree function."
69,KEEP,mcq_options,,,0,1,1,1,1,"""D""","Let the function $f$, with period $2\pi$, be the periodic extension of the function $e^{\alpha x}$ defined on $[0, 2\pi)$, where $\alpha$ is any given non-zero real number. What is the trigonometric Fourier series of $f$?"
70,KEEP,free,,,1,1,1,1,1,"[""4.64257581030492""]",The radian measure of an angle of 266 degrees is [ANS].
71,KEEP,free,,,1,1,1,1,1,"[""(-8,infinity)""]",Find the interval on which the funtion $f(x)=|x+8|$ is increasing: [ANS]
72,KEEP,free,,,2,2,2,2,1,"[""190"", ""250""]",Show how you can add and subtract mentally. Try to do these problems. 1) 70+90+30=[ANS]\n2) 360-110=[ANS]
